DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,REGION,secs
'139912,LAMAR,'139,N,PRAIRILAND ISD,'08,
'072801,ERATH,'072,Y,PREMIER HIGH SCHOOLS,'11,B
'084805,GALVESTON,'084,Y,PREMIER LEARNING ACADEMY,'04,
'125905,JIM WELLS,'125,N,PREMONT ISD,'02,E
'189902,PRESIDIO,'189,N,PRESIDIO ISD,'18,
'167904,MILLS,'167,N,PRIDDY ISD,'12,
'043911,COLLIN,'043,N,PRINCETON ISD,'10,
'098903,HANSFORD,'098,N,PRINGLE-MORSE CISD,'16,
'108910,HIDALGO,'108,N,PROGRESO ISD,'01,B
'101853,HARRIS,'101,Y,PROMISE COMMUNITY SCHOOL,'04,B
'043912,COLLIN,'043,N,PROSPER ISD,'10,
'099903,HARDEMAN,'099,N,QUANAH ISD,'09,
'034907,CASS,'034,N,QUEEN CITY ISD,'08,
'116908,HUNT,'116,N,QUINLAN ISD,'10,B
'250904,WOOD,'250,N,QUITMAN ISD,'07,
'015815,BEXAR,'015,Y,RADIANCE ACADEMY OF LEARNING,'20,
'190903,RAINS,'190,N,RAINS ISD,'07,
'054903,CROSBY,'054,N,RALLS ISD,'17,
'066005,DUVAL,'066,N,RAMIREZ CSD,'02,
'234801,VAN ZANDT,'234,Y,RANCH ACADEMY,'07,
'015906,BEXAR,'015,N,RANDOLPH FIELD ISD,'20,
'067907,EASTLAND,'067,N,RANGER ISD,'14,
'231902,UPTON,'231,N,RANKIN ISD,'18,
'161802,MCLENNAN,'161,Y,RAPOPORT ACADEMY PUBLIC SCHOOL,'12,
'101806,HARRIS,'101,Y,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,'04,
'236801,WALKER,'236,Y,RAVEN SCHOOL,'06,
'245903,WILLACY,'245,N,RAYMONDVILLE ISD,'01,
'192901,REAGAN,'192,N,REAGAN COUNTY ISD,'18,H
'057841,DALLAS,'057,Y,RECONCILIATION ACADEMY,'10,
'019911,BOWIE,'019,N,RED LICK ISD,'08,
'070911,ELLIS,'070,N,RED OAK ISD,'10,D
'019906,BOWIE,'019,N,REDWATER ISD,'08,
'196903,REFUGIO,'196,N,REFUGIO ISD,'03,
'137902,KLEBERG,'137,N,RICARDO ISD,'02,D
'045903,COLORADO,'045,N,RICE CISD,'03,D
'175911,NAVARRO,'175,N,RICE ISD,'12,D
'188801,POTTER,'188,Y,RICHARD MILBURN ACADEMY (AMARILLO),'16,B
'068801,ECTOR,'068,Y,RICHARD MILBURN ACADEMY (ECTOR COU,'18,B
'220812,TARRANT,'220,Y,RICHARD MILBURN ACADEMY (FORT WORT,'11,B
'101854,HARRIS,'101,Y,RICHARD MILBURN ACADEMY (SUBURBAN,'04,B
'014801,BELL,'014,Y,RICHARD MILBURN ALTER HIGH SCHOOL,'12,B
'178804,NUECES,'178,Y,RICHARD MILBURN ALTER HIGH SCHOOL,'02,B
'093905,GRIMES,'093,N,RICHARDS ISD,'06,
'057916,DALLAS,'057,N,RICHARDSON ISD,'10,
'057840,DALLAS,'057,Y,RICHLAND COLLEGIATE HIGH SCHOOL,'10,
'206902,SAN SABA,'206,N,RICHLAND SPRINGS ISD,'15,
'161912,MCLENNAN,'161,N,RIESEL ISD,'12,
'214901,STARR,'214,N,RIO GRANDE CITY CISD,'01,
'031911,CAMERON,'031,N,RIO HONDO ISD,'01,B
'126907,JOHNSON,'126,N,RIO VISTA ISD,'11,
'152802,LUBBOCK,'152,Y,RISE ACADEMY,'17,
'067908,EASTLAND,'067,N,RISING STAR ISD,'14,
'188902,POTTER,'188,N,RIVER ROAD ISD,'16,D
'194903,RED RIVER,'194,N,RIVERCREST ISD,'08,
'137903,KLEBERG,'137,N,RIVIERA ISD,'02,D
'041902,COKE,'041,N,ROBERT LEE ISD,'15,
'161922,MCLENNAN,'161,N,ROBINSON ISD,'12,D
'178909,NUECES,'178,N,ROBSTOWN ISD,'02,H
'076903,FISHER,'076,N,ROBY CISD,'14,
'160904,MCCULLOCH,'160,N,ROCHELLE ISD,'15,
'166904,MILAM,'166,N,ROCKDALE ISD,'06,
'069901,EDWARDS,'069,N,ROCKSPRINGS ISD,'15,
'199901,ROCKWALL,'199,N,ROCKWALL ISD,'10,
'014907,BELL,'014,N,ROGERS ISD,'12,
'214903,STARR,'214,N,ROMA ISD,'01,D
'152908,LUBBOCK,'152,N,ROOSEVELT ISD,'17,D
'110905,HOCKLEY,'110,N,ROPES ISD,'17,
'177901,NOLAN,'177,N,ROSCOE ISD,'14,D
'073905,FALLS,'073,N,ROSEBUD-LOTT ISD,'12,D
'076904,FISHER,'076,N,ROTAN ISD,'14,
'246909,WILLIAMSON,'246,N,ROUND ROCK ISD,'13,
'075908,FAYETTE,'075,N,ROUND TOP-CARMINE ISD,'13,
'139908,LAMAR,'139,N,ROXTON ISD,'08,D
'237905,WALLER,'237,N,ROYAL ISD,'04,D
'199902,ROCKWALL,'199,N,ROYSE CITY ISD,'10,
'104903,HASKELL,'104,N,RULE ISD,'14,
'128903,KARNES,'128,N,RUNGE ISD,'03,
'037907,CHEROKEE,'037,N,RUSK ISD,'07,D
'091914,GRAYSON,'091,N,S AND S CISD,'10,D
'232902,UVALDE,'232,N,SABINAL ISD,'20,
'092906,GREGG,'092,N,SABINE ISD,'07,
'123913,JEFFERSON,'123,N,SABINE PASS ISD,'05,
'169911,MONTAGUE,'169,N,SAINT JO ISD,'09,
'014908,BELL,'014,N,SALADO ISD,'12,
'112909,HOPKINS,'112,N,SALTILLO ISD,'08,D
'074917,FANNIN,'074,N,SAM RAYBURN ISD,'10,B
'044904,COLLINGSWORTH,'044,N,SAMNORWOOD ISD,'16,D
'226903,TOM GREEN,'226,N,SAN ANGELO ISD,'15,
'015817,BEXAR,'015,Y,SAN ANTONIO CAN HIGH SCHOOL,'20,C
'015907,BEXAR,'015,N,SAN ANTONIO ISD,'20,
'015820,BEXAR,'015,Y,SAN ANTONIO SCHOOL FOR INQUIRY & C,'20,
'015823,BEXAR,'015,Y,SAN ANTONIO TECHNOLOGY ACADEMY,'20,
'203901,SAN AUGUSTINE,'203,N,SAN AUGUSTINE ISD,'07,
'031912,CAMERON,'031,N,SAN BENITO CISD,'01,
'066902,DUVAL,'066,N,SAN DIEGO ISD,'02,B
'071904,EL PASO,'071,N,SAN ELIZARIO ISD,'19,
'233901,VAL VERDE,'233,N,SAN FELIPE-DEL RIO CISD,'15,C
'214902,STARR,'214,N,SAN ISIDRO ISD,'01,
'105902,HAYS,'105,N,SAN MARCOS CISD,'13,
'245904,WILLACY,'245,N,SAN PERLITA ISD,'01,
'206901,SAN SABA,'206,N,SAN SABA ISD,'15,
'022903,BREWSTER,'022,N,SAN VICENTE ISD,'18,
'058909,DAWSON,'058,N,SANDS CISD,'17,
'117903,HUTCHINSON,'117,N,SANFORD-FRITCH ISD,'16,B
'061908,DENTON,'061,N,SANGER ISD,'11,
'042903,COLEMAN,'042,N,SANTA ANNA ISD,'15,
'084909,GALVESTON,'084,N,SANTA FE ISD,'04,
'137904,KLEBERG,'137,N,SANTA GERTRUDIS ISD,'02,D
'031913,CAMERON,'031,N,SANTA MARIA ISD,'01,
'031914,CAMERON,'031,N,SANTA ROSA ISD,'01,B
'182904,PALO PINTO,'182,N,SANTO ISD,'11,
'074911,FANNIN,'074,N,SAVOY ISD,'10,
'094902,GUADALUPE,'094,N,SCHERTZ-CIBOLO-U CITY ISD,'20,
'207901,SCHLEICHER,'207,N,SCHLEICHER ISD,'15,
'015806,BEXAR,'015,Y,SCHOOL OF EXCELLENCE IN EDUCATION,'20,
'015827,BEXAR,'015,Y,SCHOOL OF SCIENCE AND TECHNOLOGY,'20,
'178809,NUECES,'178,Y,SCHOOL OF SCIENCE AND TECHNOLOGY C,'02,
'015831,BEXAR,'015,Y,SCHOOL OF SCIENCE AND TECHNOLOGY D,'20,
'075903,FAYETTE,'075,N,SCHULENBURG ISD,'13,
'129910,KAUFMAN,'129,N,SCURRY-ROSSER ISD,'10,D
'083901,GAINES,'083,N,SEAGRAVES ISD,'17,D
'008902,AUSTIN,'008,N,SEALY ISD,'06,B
'178808,NUECES,'178,Y,SEASHORE CHARTER SCHOOLS,'02,
'094901,GUADALUPE,'094,N,SEGUIN ISD,'13,B
'083903,GAINES,'083,N,SEMINOLE ISD,'17,H
'101802,HARRIS,'101,Y,SER-NINOS CHARTER SCHOOL,'04,
'012901,BAYLOR,'012,N,SEYMOUR ISD,'09,
'152909,LUBBOCK,'152,N,SHALLOWATER ISD,'17,D
'242902,WHEELER,'242,N,SHAMROCK ISD,'16,
'108911,HIDALGO,'108,N,SHARYLAND ISD,'01,
'015819,BEXAR,'015,Y,SHEKINAH RADIANCE ACADEMY,'20,
'210903,SHELBY,'210,N,SHELBYVILLE ISD,'07,
'101924,HARRIS,'101,N,SHELDON ISD,'04,D
'204904,SAN JACINTO,'204,N,SHEPHERD ISD,'06,
'091906,GRAYSON,'091,N,SHERMAN ISD,'10,D
'143903,LAVACA,'143,N,SHINER ISD,'03,D
'047905,COMANCHE,'047,N,SIDNEY ISD,'14,
'115902,HUDSPETH,'115,N,SIERRA BLANCA ISD,'19,
'100904,HARDIN,'100,N,SILSBEE ISD,'05,D
'023902,BRISCOE,'023,N,SILVERTON ISD,'16,D
'019909,BOWIE,'019,N,SIMMS ISD,'08,D
'205906,SAN PATRICIO,'205,N,SINTON ISD,'02,
'049909,COOKE,'049,N,SIVELLS BEND ISD,'11,
'013905,BEE,'013,N,SKIDMORE-TYNAN ISD,'02,D
'152903,LUBBOCK,'152,N,SLATON ISD,'17,
'249908,WISE,'249,N,SLIDELL ISD,'11,
'001909,ANDERSON,'001,N,SLOCUM ISD,'07,D
'011904,BASTROP,'011,N,SMITHVILLE ISD,'13,D
'110906,HOCKLEY,'110,N,SMYER ISD,'17,D
'026903,BURLESON,'026,N,SNOOK ISD,'06,
'208902,SCURRY,'208,N,SNYDER ISD,'14,
'071909,EL PASO,'071,N,SOCORRO ISD,'19,
'015909,BEXAR,'015,N,SOMERSET ISD,'20,
'026902,BURLESON,'026,N,SOMERVILLE ISD,'06,D
'218901,SUTTON,'218,N,SONORA ISD,'15,
'152803,LUBBOCK,'152,Y,SOUTH PLAINS,'17,B
'015908,BEXAR,'015,N,SOUTH SAN ANTONIO ISD,'20,C
'108802,HIDALGO,'108,Y,SOUTH TEXAS EDUCATIONAL TECHNOLOGI,'01,
'031916,CAMERON,'031,N,SOUTH TEXAS ISD,'01,
'085903,GARZA,'085,N,SOUTHLAND ISD,'17,
'015917,BEXAR,'015,N,SOUTHSIDE ISD,'20,B
'015912,BEXAR,'015,N,SOUTHWEST ISD,'20,
'015807,BEXAR,'015,Y,SOUTHWEST PREPARATORY SCHOOL,'20,H
'101838,HARRIS,'101,Y,SOUTHWEST SCHOOL,'04,B
'098904,HANSFORD,'098,N,SPEARMAN ISD,'16,
'170907,MONTGOMERY,'170,N,SPLENDORA ISD,'06,
'101920,HARRIS,'101,N,SPRING BRANCH ISD,'04,
'117907,HUTCHINSON,'117,N,SPRING CREEK ISD,'16,
'092907,GREGG,'092,N,SPRING HILL ISD,'07,
'101919,HARRIS,'101,N,SPRING ISD,'04,C
'140907,LAMB,'140,N,SPRINGLAKE-EARTH ISD,'17,D
'184902,PARKER,'184,N,SPRINGTOWN ISD,'11,
'063903,DICKENS,'063,N,SPUR ISD,'17,B
'229905,TYLER,'229,N,SPURGER ISD,'05,B
'057836,DALLAS,'057,Y,ST ANTHONY SCHOOL,'10,
'013801,BEE,'013,Y,ST MARY'S ACADEMY CHARTER SCHOOL,'02,
'079910,FORT BEND,'079,N,STAFFORD MSD,'04,B
'127906,JONES,'127,N,STAMFORD ISD,'14,D
'156902,MARTIN,'156,N,STANTON ISD,'18,
'167903,MILLS,'167,N,STAR ISD,'12,
'174801,NACOGDOCHES,'174,Y,STEPHEN F AUSTIN STATE UNIVERSITY,'07,D
'072903,ERATH,'072,N,STEPHENVILLE,'11,
'101859,HARRIS,'101,Y,STEPPING STONES CHARTER EL,'04,D
'216901,STERLING,'216,N,STERLING CITY ISD,'15,
'247906,WILSON,'247,N,STOCKDALE ISD,'20,
'211902,SHERMAN,'211,N,STRATFORD ISD,'16,D
'182905,PALO PINTO,'182,N,STRAWN ISD,'11,D
'140908,LAMB,'140,N,SUDAN ISD,'17,
'112910,HOPKINS,'112,N,SULPHUR BLUFF ISD,'08,
'112901,HOPKINS,'112,N,SULPHUR SPRINGS ISD,'08,B
'110907,HOCKLEY,'110,N,SUNDOWN ISD,'17,D
'057919,DALLAS,'057,N,SUNNYVALE ISD,'10,
'171902,MOORE,'171,N,SUNRAY ISD,'16,
'020906,BRAZORIA,'020,N,SWEENY ISD,'04,D
'143905,LAVACA,'143,N,SWEET HOME ISD,'03,
'177902,NOLAN,'177,N,SWEETWATER ISD,'14,
'205907,SAN PATRICIO,'205,N,TAFT ISD,'02,L
'153904,LYNN,'153,N,TAHOKA ISD,'17,D
'146907,LIBERTY,'146,N,TARKINGTON ISD,'04,D
'201910,RUSK,'201,N,TATUM ISD,'07,D
'246911,WILLIAMSON,'246,N,TAYLOR ISD,'13,
'081904,FREESTONE,'081,N,TEAGUE ISD,'12,
'123803,JEFFERSON,'123,Y,TEKOA ACADEMY OF ACCELERATED STUDI,'05,
'014803,BELL,'014,Y,TEMPLE EDUCATION CENTER,'12,B
'014909,BELL,'014,N,TEMPLE ISD,'12,D
'210904,SHELBY,'210,N,TENAHA ISD,'07,D
'022004,BREWSTER,'022,N,TERLINGUA CSD,'18,
'222901,TERRELL,'222,N,TERRELL COUNTY ISD,'18,
'129906,KAUFMAN,'129,N,TERRELL ISD,'10,
'019907,BOWIE,'019,N,TEXARKANA ISD,'08,B
'084906,GALVESTON,'084,N,TEXAS CITY ISD,'04,
'221801,TAYLOR,'221,Y,TEXAS COLLEGE PREPARATORY ACADEMIE,'14,
'061802,DENTON,'061,Y,TEXAS EDUCATION CENTERS,'11,
'220814,TARRANT,'220,Y,TEXAS ELEMENTARY SCHOOL OF THE ART,'11,
'227805,TRAVIS,'227,Y,TEXAS EMPOWERMENT ACADEMY,'13,
'226801,TOM GREEN,'226,Y,TEXAS LEADERSHIP,'15,D
'105802,HAYS,'105,Y,TEXAS PREPARATORY SCHOOL,'13,
'170801,MONTGOMERY,'170,Y,TEXAS SERENITY ACADEMY,'06,
'211901,SHERMAN,'211,N,TEXHOMA ISD,'16,
'056902,DALLAM,'056,N,TEXLINE ISD,'16,
'227824,TRAVIS,'227,Y,THE EAST AUSTIN COLLEGE PREP ACADE,'13,
'061803,DENTON,'061,Y,THE LEGENDS ACADEMY,'11,
'101861,HARRIS,'101,Y,THE RHODES SCHOOL,'04,
'101814,HARRIS,'101,Y,THE VARNETT PUBLIC SCHOOL,'04,
'166905,MILAM,'166,N,THORNDALE ISD,'13,
'246912,WILLIAMSON,'246,N,THRALL ISD,'13,
'149902,LIVE OAK,'149,N,THREE RIVERS ISD,'02,B
'072901,ERATH,'072,N,THREE WAY ISD,'11,
'224901,THROCKMORTON,'224,N,THROCKMORTON ISD,'09,
'158902,MATAGORDA,'158,N,TIDEHAVEN ISD,'03,
'210905,SHELBY,'210,N,TIMPSON ISD,'07,D
'091907,GRAYSON,'091,N,TIOGA ISD,'10,
'111903,HOOD,'111,N,TOLAR ISD,'11,
'091918,GRAYSON,'091,N,TOM BEAN ISD,'10,
'101921,HARRIS,'101,N,TOMBALL ISD,'04,
'071908,EL PASO,'071,N,TORNILLO ISD,'19,D
'014802,BELL,'014,Y,TRANSFORMATIVE CHARTER ACADEMY,'12,
'220801,TARRANT,'220,Y,TREETOPS SCHOOL INTERNATIONAL,'11,
'221905,TAYLOR,'221,N,TRENT ISD,'14,
'074912,FANNIN,'074,N,TRENTON ISD,'10,D
'107907,HENDERSON,'107,N,TRINIDAD ISD,'07,D
'057813,DALLAS,'057,Y,TRINITY BASIN PREPARATORY,'10,B
'046802,COMAL,'046,Y,TRINITY CHARTER SCHOOL,'13,
'228903,TRINITY,'228,N,TRINITY ISD,'06,D
'212904,SMITH,'212,N,TROUP ISD,'07,
'014910,BELL,'014,N,TROY ISD,'12,
'219903,SWISHER,'219,N,TULIA ISD,'16,D
'178912,NUECES,'178,N,TULOSO-MIDWAY ISD,'02,
'096905,HALL,'096,N,TURKEY-QUITAQUE ISD,'16,
'101840,HARRIS,'101,Y,TWO DIMENSIONS PREPARATORY ACADEMY,'04,
'212905,SMITH,'212,N,TYLER ISD,'07,L
'230908,UPSHUR,'230,N,UNION GROVE ISD,'07,
'230904,UPSHUR,'230,N,UNION HILL ISD,'07,
'240903,WEBB,'240,N,UNITED ISD,'01,C
'057808,DALLAS,'057,Y,UNIVERSAL ACADEMY,'10,
'101807,HARRIS,'101,Y,UNIVERSITY OF HOUSTON CHARTER SCHO,'04,
'227819,TRAVIS,'227,Y,UNIVERSITY OF TEXAS ELEMENTARY CHA,'13,B
'227806,TRAVIS,'227,Y,UNIVERSITY OF TEXAS UNIVERSITY CHA,'13,B
'057843,DALLAS,'057,Y,UPLIFT EDUCATION - HAMPTON PREPARA,'10,
'057803,DALLAS,'057,Y,UPLIFT EDUCATION - NORTH HILLS PRE,'10,
'057838,DALLAS,'057,Y,UPLIFT EDUCATION - PEAK PREPARATOR,'10,D
'057842,DALLAS,'057,Y,UPLIFT EDUCATION - WILLIAMS PREPAR,'10,
'220816,TARRANT,'220,Y,UPLIFT EDUCATION-SUMMIT INTERNATIO,'11,D
'232904,UVALDE,'232,N,UTOPIA ISD,'20,
'232903,UVALDE,'232,N,UVALDE CISD,'20,B
'122902,JEFF DAVIS,'122,N,VALENTINE ISD,'18,
'018904,BOSQUE,'018,N,VALLEY MILLS ISD,'12,D
'049903,COOKE,'049,N,VALLEY VIEW ISD,'11,
'108916,HIDALGO,'108,N,VALLEY VIEW ISD,'01,D
'091908,GRAYSON,'091,N,VAN ALSTYNE ISD,'10,
'234906,VAN ZANDT,'234,N,VAN ISD,'07,
'158906,MATAGORDA,'158,N,VAN VLECK ISD,'03,B
'108808,HIDALGO,'108,Y,VANGUARD ACADEMY,'01,
'180902,OLDHAM,'180,N,VEGA ISD,'16,
'126908,JOHNSON,'126,N,VENUS ISD,'11,D
'226908,TOM GREEN,'226,N,VERIBEST ISD,'15,
'244903,WILBARGER,'244,N,VERNON ISD,'09,
'235902,VICTORIA,'235,N,VICTORIA ISD,'03,H
'101865,HARRIS,'101,Y,VICTORY PREP,'04,
'181907,ORANGE,'181,N,VIDOR ISD,'05,B
'071809,EL PASO,'071,Y,VISTA DEL FUTURO CHARTER SCHOOL,'19,
'143904,LAVACA,'143,N,VYSEHRAD ISD,'03,
'161801,MCLENNAN,'161,Y,WACO CHARTER SCHOOL,'12,
'161914,MCLENNAN,'161,N,WACO ISD,'12,L
'089905,GONZALES,'089,N,WAELDER ISD,'13,
'059902,DEAF SMITH,'059,N,WALCOTT ISD,'16,
'101864,HARRIS,'101,Y,WALIPP-TSU PREPARATORY ACADEMY,'04,
'226906,TOM GREEN,'226,N,WALL ISD,'15,
'237904,WALLER,'237,N,WALLER ISD,'04,
'049908,COOKE,'049,N,WALNUT BEND ISD,'11,
'018905,BOSQUE,'018,N,WALNUT SPRINGS ISD,'12,D
'229904,TYLER,'229,N,WARREN ISD,'05,D
'102903,HARRISON,'102,N,WASKOM ISD,'07,D
'226905,TOM GREEN,'226,N,WATER VALLEY ISD,'15,D
'070801,ELLIS,'070,Y,WAXAHACHIE FAITH FAMILY ACADEMY,'10,
'070912,ELLIS,'070,N,WAXAHACHIE ISD,'10,D
'184903,PARKER,'184,N,WEATHERFORD ISD,'11,
'240904,WEBB,'240,N,WEBB CISD,'01,
'045905,COLORADO,'045,N,WEIMAR ISD,'03,
'044902,COLLINGSWORTH,'044,N,WELLINGTON ISD,'16,
'223904,TERRY,'223,N,WELLMAN-UNION CISD,'17,
'037909,CHEROKEE,'037,N,WELLS ISD,'07,B
'108913,HIDALGO,'108,N,WESLACO ISD,'01,
'100908,HARDIN,'100,N,WEST HARDIN COUNTY CISD,'05,
'161916,MCLENNAN,'161,N,WEST ISD,'12,D
'181906,ORANGE,'181,N,WEST ORANGE-COVE CISD,'05,B
'178915,NUECES,'178,N,WEST OSO ISD,'02,H
'201914,RUSK,'201,N,WEST RUSK ISD,'07,D
'202905,SABINE,'202,N,WEST SABINE ISD,'07,
'168903,MITCHELL,'168,N,WESTBROOK ISD,'14,
'062905,DEWITT,'062,N,WESTHOFF ISD,'03,
'220810,TARRANT,'220,Y,WESTLAKE ACADEMY CHARTER SCHOOL,'11,
'073904,FALLS,'073,N,WESTPHALIA ISD,'12,
'001908,ANDERSON,'001,N,WESTWOOD ISD,'07,
'241904,WHARTON,'241,N,WHARTON ISD,'03,
'242903,WHEELER,'242,N,WHEELER ISD,'16,
'033904,CARSON,'033,N,WHITE DEER ISD,'16,
'092908,GREGG,'092,N,WHITE OAK ISD,'07,B
'220920,TARRANT,'220,N,WHITE SETTLEMENT ISD,'11,
'040902,COCHRAN,'040,N,WHITEFACE CISD,'17,
'212906,SMITH,'212,N,WHITEHOUSE ISD,'07,
'091909,GRAYSON,'091,N,WHITESBORO ISD,'10,
'091910,GRAYSON,'091,N,WHITEWRIGHT ISD,'10,D
'110908,HOCKLEY,'110,N,WHITHARRAL ISD,'17,
'109911,HILL,'109,N,WHITNEY ISD,'12,D
'243905,WICHITA,'243,N,WICHITA FALLS ISD,'09,
'180904,OLDHAM,'180,N,WILDORADO ISD,'16,
'170904,MONTGOMERY,'170,N,WILLIS ISD,'06,
'234907,VAN ZANDT,'234,N,WILLS POINT ISD,'10,
'153907,LYNN,'153,N,WILSON ISD,'17,
'105905,HAYS,'105,N,WIMBERLEY ISD,'13,
'005904,ARCHER,'005,N,WINDTHORST ISD,'09,
'225905,TITUS,'225,N,WINFIELD ISD,'08,
'057828,DALLAS,'057,Y,WINFREE ACADEMY CHARTER SCHOOLS,'10,B
'248902,WINKLER,'248,N,WINK-LOVING ISD,'18,
'250907,WOOD,'250,N,WINNSBORO ISD,'07,B
'212910,SMITH,'212,N,WINONA ISD,'07,
'200904,RUNNELS,'200,N,WINTERS ISD,'15,D
'174906,NACOGDOCHES,'174,N,WODEN ISD,'07,D
'116909,HUNT,'116,N,WOLFE CITY ISD,'10,
'196902,REFUGIO,'196,N,WOODSBORO ISD,'03,D
'224902,THROCKMORTON,'224,N,WOODSON ISD,'09,
'229903,TYLER,'229,N,WOODVILLE ISD,'05,D
'081905,FREESTONE,'081,N,WORTHAM ISD,'12,
'043914,COLLIN,'043,N,WYLIE ISD,'10,
'221912,TAYLOR,'221,N,WYLIE ISD,'14,
'250905,WOOD,'250,N,YANTIS ISD,'07,A
'101845,HARRIS,'101,Y,YES PREP PUBLIC SCHOOLS INC,'04,B
'062903,DEWITT,'062,N,YOAKUM ISD,'03,D
'062904,DEWITT,'062,N,YORKTOWN ISD,'03,D
'071905,EL PASO,'071,N,YSLETA ISD,'19,
'253901,ZAPATA,'253,N,ZAPATA COUNTY ISD,'01,C
'003906,ANGELINA,'003,N,ZAVALLA ISD,'07,
'025906,BROWN,'025,N,ZEPHYR ISD,'15,
'101850,HARRIS,'101,Y,ZOE LEARNING ACADEMY,'04,D
